Date,Time,Open,High,Low,Close,Volume
2019.07.16,10:00,1.12313,1.12324,1.12173,1.1223,3877
2019.07.16,11:00,1.12228,1.12258,1.12193,1.12214,3004
2019.07.16,12:00,1.12215,1.1223,1.12087,1.12189,5760
2019.07.16,13:00,1.12189,1.12217,1.12116,1.12175,4076
2019.07.16,14:00,1.12175,1.12238,1.12071,1.12235,4291
2019.07.16,15:00,1.12234,1.12239,1.12108,1.1211,2683
2019.07.16,16:00,1.12109,1.12209,1.12087,1.1212,3764
2019.07.16,17:00,1.12119,1.12196,1.12026,1.12096,3718
2019.07.16,18:00,1.12096,1.12108,1.12016,1.12063,2706
2019.07.16,19:00,1.12061,1.12119,1.12038,1.12087,1959
2019.07.16,20:00,1.12087,1.12103,1.12064,1.12088,884
2019.07.16,21:05,1.12102,1.1212,1.12087,1.12104,846
2019.07.16,22:05,1.12111,1.12122,1.12101,1.12103,480
2019.07.16,23:05,1.12103,1.12126,1.12098,1.12113,533
2019.07.17,00:00,1.12114,1.12119,1.12065,1.12112,1475
2019.07.17,01:00,1.12112,1.12147,1.12099,1.12125,1342
2019.07.17,02:00,1.12124,1.12138,1.12074,1.12119,1679
2019.07.17,03:00,1.12118,1.12145,1.12095,1.12131,946
2019.07.17,04:00,1.1213,1.12153,1.12126,1.12152,805
2019.07.17,05:00,1.12152,1.1217,1.12139,1.12155,945
2019.07.17,06:00,1.12155,1.12155,1.11994,1.12021,2722
2019.07.17,07:00,1.1202,1.12125,1.12019,1.12068,4239
2019.07.17,08:00,1.12069,1.12143,1.12064,1.12101,3072
2019.07.17,09:00,1.12102,1.12196,1.12102,1.12165,2898
2019.07.17,10:00,1.12166,1.12188,1.12122,1.12181,2403
2019.07.17,11:00,1.12182,1.12217,1.12163,1.12171,1971
2019.07.17,12:00,1.12172,1.1218,1.12087,1.12113,3573
2019.07.17,13:00,1.12111,1.12205,1.12109,1.12203,3278
2019.07.17,14:00,1.12201,1.12265,1.12144,1.12249,3797
2019.07.17,15:00,1.12247,1.12324,1.12231,1.12307,3502
2019.07.17,16:00,1.12305,1.12332,1.12238,1.12241,2613
2019.07.17,17:00,1.12242,1.12273,1.12223,1.12265,1359
2019.07.17,18:00,1.12266,1.12307,1.12213,1.12224,2106
2019.07.17,19:00,1.12223,1.12254,1.12188,1.12248,1789
2019.07.17,20:00,1.12245,1.12249,1.12219,1.12231,1089
2019.07.17,21:05,1.12237,1.12293,1.12229,1.12277,1024
2019.07.17,22:05,1.12278,1.12282,1.12263,1.12268,575
2019.07.17,23:05,1.12268,1.12284,1.12263,1.1227,634
2019.07.18,00:00,1.12268,1.12385,1.12253,1.12374,1936
2019.07.18,01:00,1.12373,1.12403,1.12323,1.12333,2719
2019.07.18,02:00,1.12333,1.1239,1.12327,1.12386,1202
2019.07.18,03:00,1.12387,1.12412,1.12372,1.12389,1196
2019.07.18,04:00,1.1239,1.12396,1.12358,1.12359,700
2019.07.18,05:00,1.12361,1.12407,1.12355,1.12392,1216
2019.07.18,06:00,1.12391,1.12435,1.12333,1.12374,2835
2019.07.18,07:00,1.12373,1.12421,1.12347,1.12387,4616
2019.07.18,08:00,1.12386,1.12414,1.12354,1.12391,3661
2019.07.18,09:00,1.12391,1.12395,1.12286,1.12315,3234
2019.07.18,10:00,1.12316,1.12328,1.12048,1.12126,7563
